year,day collected,weight,sfmf,nest size,logface
2011.00,46,0.081,mf,201,0.812
2011.00,47,0.094,mf,169,0.820
2011.00,45,0.084,mf,156,0.703
2011.00,42,0.085,mf,142,0.804
2011.00,42,0.102,mf,97,0.724
2011.00,46,0.100,mf,97,0.641
2011.00,45,0.087,mf,91,0.863
2011.00,46,0.109,mf,84,0.835
2011.00,45,0.077,mf,82,0.802
2011.00,46,0.095,mf,77,0.000
2011.00,47,0.092,mf,74,0.797
2011.00,27,0.115,mf,72,0.329
2011.00,27,0.084,mf,68,0.456
2011.00,46,0.105,mf,65,0.758
2011.00,42,0.080,mf,62,0.740
2011.00,45,0.133,mf,57,0.714
2011.00,45,0.095,mf,55,0.539
2011.00,24,0.105,mf,53,0.800
2011.00,48,0.115,mf,53,0.860
2011.00,48,0.094,mf,51,0.658
2011.00,46,0.087,mf,50,0.547
2011.00,48,0.112,mf,50,0.127
2011.00,53,0.071,mf,49,0.000
2011.00,27,0.126,mf,46,0.568
2011.00,31,0.076,mf,44,0.377
2011.00,27,0.088,mf,43,0.734
2011.00,29,0.103,mf,43,0.890
2011.00,42,0.092,mf,42,0.671
2011.00,48,0.075,mf,42,0.837
2011.00,45,0.090,mf,41,0.883
2011.00,46,0.084,mf,41,0.754
2011.00,27,0.089,mf,40,0.584
2011.00,29,0.094,mf,40,0.418
2011.00,29,0.097,mf,39,0.534
2011.00,53,0.084,mf,39,0.370
2011.00,53,0.106,mf,38,0.498
2011.00,31,0.106,mf,36,0.819
2011.00,47,0.078,mf,36,0.815
2011.00,46,0.072,mf,35,0.557
2012.00,2,0.119,mf,35,0.573
2011.00,24,0.092,mf,34,0.711
2011.00,45,0.058,mf,34,0.639
2011.00,47,0.088,mf,34,0.710
2012.00,4,0.111,mf,34,0.518
2011.00,20,0.076,mf,33,0.829
2011.00,48,0.111,mf,33,0.904
2011.00,53,0.073,mf,33,0.557
2011.00,45,0.093,mf,32,0.243
2011.00,27,0.119,mf,31,0.735
2011.00,53,0.101,mf,30,0.000
2011.00,24,0.103,mf,28,0.844
2012.00,-4,0.103,mf,27,0.671
2011.00,46,0.093,mf,26,0.599
2012.00,1,0.126,mf,25,0.624
2012.00,2,0.117,mf,25,0.451
2011.00,29,0.104,mf,24,0.248
2012.00,1,0.108,mf,24,0.690
2011.00,27,0.108,mf,23,0.620
2011.00,45,0.107,mf,23,0.807
2012.00,-6,0.103,mf,23,0.680
2012.00,-1,0.105,mf,23,0.656
2012.00,1,0.121,mf,22,0.801
2012.00,2,0.129,mf,22,0.564
2012.00,-6,0.093,mf,21,0.365
2012.00,1,0.119,mf,21,0.813
2012.00,2,0.082,mf,21,0.812
2011.00,27,0.099,mf,20,0.755
2012.00,-4,0.110,mf,20,0.777
2012.00,2,0.122,mf,20,0.693
2011.00,45,0.060,mf,19,0.483
2012.00,-4,0.096,mf,19,0.822
2012.00,1,0.120,mf,19,0.573
2012.00,2,0.137,mf,19,0.301
2012.00,-6,0.100,mf,18,0.780
2012.00,-4,0.081,mf,18,0.740
2012.00,2,0.087,mf,18,0.769
2011.00,27,0.091,mf,17,0.569
2012.00,-6,0.118,mf,17,0.573
2012.00,1,0.114,mf,17,0.769
2012.00,2,0.077,mf,17,0.672
2012.00,-6,0.109,mf,16,0.752
2012.00,1,0.117,mf,16,0.768
2012.00,-5,0.106,mf,15,0.793
2012.00,1,0.115,mf,15,0.407
2012.00,3,0.115,mf,15,0.185
2012.00,-6,0.104,mf,14,0.690
2012.00,3,0.126,mf,14,0.731
2012.00,-6,0.105,mf,13,0.606
2012.00,-5,0.097,mf,13,0.828
2011.00,27,0.103,mf,12,0.827
2012.00,-6,0.108,mf,12,0.724
2012.00,4,0.130,mf,12,0.558
2012.00,-5,0.118,mf,11,0.657
2011.00,27,0.096,mf,10,0.672
2012.00,-6,0.088,mf,10,0.715
2012.00,1,0.094,mf,10,0.753
2012.00,-6,0.096,mf,9,0.726
2012.00,-4,0.103,mf,9,0.703
2012.00,2,0.118,mf,9,0.254
2012.00,2,0.092,mf,8,0.912
2011.00,47,0.068,mf,7,0.577
2012.00,-6,0.090,mf,7,0.684
2012.00,2,0.083,mf,7,0.381
2012.00,3,0.113,mf,7,0.904
2012.00,-6,0.100,mf,6,0.822
2012.00,-6,0.090,mf,4,0.000
2011.00,45,0.056,sf,169,0.811
2011.00,46,0.153,sf,156,0.886
2011.00,53,0.076,sf,142,0.816
2011.00,53,0.090,sf,91,0.861
2011.00,47,0.090,sf,65,0.320
2011.00,48,0.091,sf,53,0.931
2011.00,48,0.092,sf,53,0.966
2011.00,53,0.065,sf,49,0.000
2011.00,47,0.107,sf,43,0.359
2011.00,46,0.083,sf,41,0.871
2011.00,46,0.084,sf,41,0.610
2011.00,46,0.127,sf,41,0.847
2011.00,46,0.139,sf,41,0.861
2011.00,45,0.129,sf,40,0.312
2011.00,46,0.089,sf,40,0.438
2011.00,47,0.104,sf,40,0.558
2011.00,31,0.089,sf,39,0.765
2011.00,31,0.076,sf,38,0.000
2011.00,42,0.106,sf,38,0.000
2011.00,45,0.101,sf,38,0.326
2011.00,24,0.097,sf,37,0.776
2011.00,31,0.093,sf,37,0.785
2011.00,42,0.085,sf,37,0.000
2011.00,46,0.097,sf,37,0.334
2011.00,25,0.074,sf,36,0.718
2011.00,27,0.095,sf,36,0.815
2011.00,29,0.101,sf,36,0.849
2011.00,42,0.064,sf,36,0.000
2011.00,45,0.110,sf,36,0.000
2011.00,47,0.080,sf,36,0.901
2011.00,47,0.104,sf,36,0.351
2011.00,24,0.089,sf,35,0.869
2011.00,27,0.087,sf,35,0.745
2011.00,27,0.098,sf,35,0.684
2011.00,29,0.083,sf,35,0.000
2011.00,42,0.092,sf,35,0.000
2011.00,45,0.053,sf,35,0.732
2011.00,45,0.104,sf,35,0.734
2011.00,46,0.089,sf,35,0.000
2011.00,29,0.088,sf,34,0.827
2011.00,29,0.105,sf,34,0.693
2011.00,31,0.081,sf,34,0.771
2011.00,31,0.110,sf,34,0.775
2011.00,45,0.051,sf,34,0.890
2011.00,45,0.086,sf,34,0.878
2011.00,45,0.102,sf,34,0.965
2011.00,45,0.113,sf,34,0.899
2011.00,47,0.105,sf,34,0.565
2011.00,29,0.097,sf,33,0.702
2011.00,46,0.084,sf,33,0.537
2011.00,46,0.109,sf,33,0.458
2011.00,47,0.090,sf,33,0.983
2011.00,25,0.063,sf,32,0.000
2011.00,29,0.094,sf,32,0.802
2011.00,31,0.085,sf,32,0.310
2011.00,31,0.091,sf,32,0.777
2011.00,31,0.110,sf,32,0.887
2011.00,42,0.086,sf,32,0.000
2011.00,42,0.099,sf,32,0.000
2011.00,46,0.084,sf,32,0.765
2011.00,48,0.092,sf,32,0.974
2011.00,29,0.083,sf,31,0.303
2011.00,31,0.076,sf,31,0.868
2011.00,31,0.099,sf,31,0.819
2011.00,42,0.096,sf,31,0.316
2011.00,46,0.077,sf,31,0.810
2011.00,46,0.096,sf,31,0.000
2011.00,46,0.115,sf,31,0.000
2011.00,47,0.077,sf,31,0.810
2011.00,48,0.092,sf,31,0.000
2011.00,24,0.078,sf,30,0.889
2011.00,24,0.115,sf,30,0.791
2011.00,27,0.083,sf,30,0.927
2011.00,27,0.133,sf,30,0.874
2011.00,29,0.095,sf,30,0.879
2011.00,31,0.090,sf,30,0.827
2011.00,31,0.095,sf,30,0.000
2011.00,31,0.098,sf,30,0.868
2011.00,31,0.104,sf,30,0.808
2011.00,45,0.111,sf,30,0.000
2011.00,46,0.092,sf,30,0.919
2011.00,47,0.110,sf,30,0.756
2011.00,47,0.113,sf,30,0.320
2011.00,24,0.100,sf,29,0.773
2011.00,31,0.100,sf,29,0.925
2011.00,42,0.074,sf,29,0.000
2011.00,42,0.075,sf,29,0.359
2011.00,42,0.094,sf,29,0.312
2011.00,42,0.098,sf,29,0.775
2011.00,45,0.101,sf,29,0.961
2011.00,46,0.067,sf,29,0.737
2011.00,47,0.080,sf,29,0.000
2011.00,47,0.088,sf,29,0.719
2011.00,47,0.104,sf,29,0.723
2011.00,24,0.089,sf,28,0.630
2011.00,24,0.091,sf,28,0.772
2011.00,24,0.123,sf,28,0.000
2011.00,27,0.128,sf,28,0.828
2011.00,31,0.095,sf,28,0.334
2011.00,47,0.097,sf,28,0.000
2011.00,24,0.095,sf,27,0.915
2011.00,24,0.106,sf,27,0.727
2011.00,25,0.072,sf,27,0.310
2011.00,27,0.085,sf,27,0.718
2011.00,27,0.100,sf,27,0.529
2011.00,27,0.110,sf,27,0.000
2011.00,29,0.116,sf,27,0.437
2011.00,31,0.082,sf,27,0.827
2011.00,31,0.089,sf,27,0.819
2011.00,31,0.104,sf,27,0.315
2011.00,31,0.105,sf,27,1.001
2011.00,31,0.105,sf,27,0.455
2011.00,31,0.126,sf,27,0.894
2011.00,45,0.094,sf,27,0.991
2011.00,45,0.120,sf,27,0.481
2011.00,46,0.084,sf,27,0.000
2011.00,47,0.066,sf,27,0.316
2011.00,48,0.120,sf,27,0.962
2011.00,24,0.111,sf,26,0.745
2011.00,24,0.116,sf,26,0.295
2011.00,27,0.120,sf,26,0.728
2011.00,27,0.123,sf,26,0.639
2011.00,29,0.083,sf,26,0.789
2011.00,29,0.096,sf,26,0.879
2011.00,29,0.096,sf,26,0.811
2011.00,31,0.076,sf,26,0.764
2011.00,31,0.096,sf,26,0.856
2011.00,31,0.101,sf,26,0.928
2011.00,42,0.061,sf,26,0.295
2011.00,42,0.093,sf,26,0.294
2011.00,42,0.105,sf,26,0.805
2011.00,47,0.095,sf,26,0.319
2011.00,47,0.103,sf,26,0.911
2011.00,47,0.124,sf,26,0.305
2011.00,48,0.106,sf,26,0.308
2011.00,53,0.109,sf,26,0.000
2011.00,24,0.087,sf,25,0.765
2011.00,24,0.103,sf,25,0.306
2011.00,24,0.119,sf,25,0.883
2011.00,24,0.143,sf,25,0.715
2011.00,29,0.078,sf,25,0.705
2011.00,29,0.124,sf,25,0.973
2011.00,31,0.082,sf,25,0.795
2011.00,31,0.094,sf,25,0.884
2011.00,42,0.053,sf,25,0.740
2011.00,45,0.077,sf,25,0.307
2011.00,46,0.105,sf,25,0.000
2011.00,25,0.082,sf,24,0.976
2011.00,29,0.077,sf,24,0.847
2011.00,29,0.092,sf,24,0.872
2011.00,29,0.092,sf,24,0.854
2011.00,29,0.099,sf,24,0.320
2011.00,29,0.112,sf,24,0.820
2011.00,42,0.096,sf,24,0.000
2011.00,47,0.088,sf,24,0.469
2012.00,-6,0.108,sf,24,0.736
2012.00,1,0.102,sf,24,0.852
2012.00,4,0.080,sf,24,0.000
2011.00,24,0.084,sf,23,0.977
2011.00,24,0.091,sf,23,0.830
2011.00,24,0.091,sf,23,0.413
2011.00,24,0.103,sf,23,0.680
2011.00,24,0.118,sf,23,0.779
2011.00,25,0.074,sf,23,0.865
2011.00,25,0.096,sf,23,0.756
2011.00,25,0.103,sf,23,0.850
2011.00,25,0.133,sf,23,0.916
2011.00,27,0.083,sf,23,0.521
2011.00,27,0.109,sf,23,0.000
2011.00,27,0.115,sf,23,0.947
2011.00,27,0.128,sf,23,0.860
2011.00,29,0.121,sf,23,0.295
2011.00,31,0.074,sf,23,0.000
2011.00,31,0.086,sf,23,0.815
2011.00,31,0.106,sf,23,0.860
2011.00,46,0.088,sf,23,0.295
2011.00,48,0.117,sf,23,0.892
2012.00,-6,0.093,sf,23,0.316
2012.00,-5,0.096,sf,23,0.336
2012.00,-5,0.108,sf,23,0.671
2012.00,-1,0.094,sf,23,0.724
2011.00,24,0.095,sf,22,0.315
2011.00,27,0.077,sf,22,0.742
2011.00,27,0.094,sf,22,0.902
2011.00,27,0.114,sf,22,0.876
2011.00,27,0.126,sf,22,0.000
2011.00,29,0.086,sf,22,0.783
2011.00,29,0.092,sf,22,0.766
2011.00,29,0.099,sf,22,0.000
2011.00,31,0.092,sf,22,0.731
2011.00,42,0.069,sf,22,0.000
2011.00,42,0.087,sf,22,0.000
2011.00,53,0.090,sf,22,0.000
2012.00,-1,0.112,sf,22,0.813
2012.00,-1,0.123,sf,22,0.882
2011.00,24,0.091,sf,21,0.322
2011.00,24,0.111,sf,21,0.936
